Story,OutputCase,CaseType,StepType,StepNumber,Location,P,VX,VY,T,MX,MY
Story14,Qx,LinRespSpec,Max,,Bottom,0,463.8741,31.4648,8813.3198,389.6508,5120.0206
Story14,Qy,LinRespSpec,Max,,Top,0,27.4905,294.9573,8484.7547,2553.2464,230.0966
Story14,Qy,LinRespSpec,Max,,Bottom,0,27.4905,294.9573,8484.7547,3400.371,310.1726
Story14,Qx-Servicio (R=6),LinRespSpec,Max,,Top,0,279.255,18.942,5305.671,179.5134,2273.6422
Story14,Qx-Servicio (R=6),LinRespSpec,Max,,Bottom,0,279.255,18.942,5305.671,234.5721,3082.2828
Story14,Qy-Servicio (R=6),LinRespSpec,Max,,Top,0,15.6059,167.4416,4816.6318,1449.4288,130.6214
Story14,Qy-Servicio (R=6),LinRespSpec,Max,,Bottom,0,15.6059,167.4416,4816.6318,1930.3251,176.079
Story14,EU-F,Combination,Max,,Top,7512.7753,708.1736,456.5762,17037.7141,120204.6017,-127610.4162
Story14,EU-F,Combination,Max,,Bottom,7668.2171,708.1736,456.5762,17037.7141,122691.7766,-128347.6875
Story14,EU-F,Combination,Min,,Top,4164.224,-708.196,-456.6278,-17038.8193,62663.6375,-240632.4423
Story14,EU-F,Combination,Min,,Bottom,4250.3832,-708.196,-456.6278,-17038.8193,62730.3998,-245662.6475
Story14,ES-F,Combination,Max,,Top,5833.1334,495.8593,319.7614,11968.8394,96106.6173,-84135.3553
Story14,ES-F,Combination,Max,,Bottom,5953.8228,495.8593,319.7614,11968.8394,98956.4786,-84542.5362
Story14,ES-F,Combination,Min,,Top,2752.8955,-495.8763,-319.8005,-11969.675,41270.0703,-190873.1502
Story14,ES-F,Combination,Min,,Bottom,2809.8538,-495.8763,-319.8005,-11969.675,41262.6947,-196214.7753
Story13,Ex,LinStatic,Step By Step,1,Top,0,-524.0193,-0.2968,8364.3467,2.0304,-4295.0965
Story13,Ex,LinStatic,Step By Step,1,Bottom,0,-524.0193,-0.2968,8364.3467,2.9207,-5867.1544
Story13,Ex,LinStatic,Step By Step,2,Top,0,-523.9989,0.1576,8851.7336,-1.1522,-4294.9561
Story13,Ex,LinStatic,Step By Step,2,Bottom,0,-523.9989,0.1576,8851.7336,-1.6251,-5866.9529
Story13,Ex,LinStatic,Step By Step,3,Top,0,-524.0396,-0.7512,7876.9598,5.213,-4295.2369
Story13,Ex,LinStatic,Step By Step,3,Bottom,0,-524.0396,-0.7512,7876.9598,7.4665,-5867.3558
Story13,Ey,LinStatic,Step By Step,1,Top,0,-0.2929,-531.9303,-17265.3541,4350.7357,-1.9786
Story13,Ey,LinStatic,Step By Step,1,Bottom,0,-0.2929,-531.9303,-17265.3541,5946.5265,-2.8572
Story13,Ey,LinStatic,Step By Step,2,Top,0,-0.3132,-532.3847,-17752.741,4353.9183,-2.119
Story13,Ey,LinStatic,Step By Step,2,Bottom,0,-0.3132,-532.3847,-17752.741,5951.0723,-3.0587
Story13,Ey,LinStatic,Step By Step,3,Top,0,-0.2725,-531.4759,-16777.9672,4347.5531,-1.8382
Story13,Ey,LinStatic,Step By Step,3,Bottom,0,-0.2725,-531.4759,-16777.9672,5941.9807,-2.6558
Story13,Qx,LinRespSpec,Max,,Top,0,475.8106,28.575,8877.1737,389.6508,5120.0206
Story13,Qx,LinRespSpec,Max,,Bottom,0,475.8106,28.575,8877.1737,469.6709,6464.7157
Story13,Qy,LinRespSpec,Max,,Top,0,27.6659,300.009,9385.14,3400.371,310.1726
Story13,Qy,LinRespSpec,Max,,Bottom,0,27.6659,300.009,9385.14,4232.6177,388.9991
Story13,Qx-Servicio (R=6),LinRespSpec,Max,,Top,0,286.4408,17.2023,5344.1114,234.5721,3082.2828
Story13,Qx-Servicio (R=6),LinRespSpec,Max,,Bottom,0,286.4408,17.2023,5344.1114,282.7447,3891.7973
Story13,Qy-Servicio (R=6),LinRespSpec,Max,,Top,0,15.7054,170.3093,5327.7632,1930.3251,176.079
Story13,Qy-Servicio (R=6),LinRespSpec,Max,,Bottom,0,15.7054,170.3093,5327.7632,2402.7755,220.8273
Story13,EU-F,Combination,Max,,Top,9046.4187,726.1559,462.8483,18071.9143,144743.0024,-152792.9856
Story13,EU-F,Combination,Max,,Bottom,9201.8605,726.1559,462.8483,18071.9143,147230.2046,-153528.6463
Story13,EU-F,Combination,Min,,Top,5014.3007,-726.1822,-462.9136,-18073.3424,74953.0792,-289764.9894
Story13,EU-F,Combination,Min,,Bottom,5100.4598,-726.1822,-462.9136,-18073.3424,75047.3208,-294795.2026
Story13,ES-F,Combination,Max,,Top,7023.8979,508.4478,324.1376,12694.7463,116077.6804,-100702.8943
Story13,ES-F,Combination,Max,,Bottom,7144.5874,508.4478,324.1376,12694.7463,118908.2807,-101108.9538
Story13,ES-F,Combination,Min,,Top,3314.8663,-508.4678,-324.187,-12695.8264,49342.8938,-230457.0936
Story13,ES-F,Combination,Min,,Bottom,3371.8246,-508.4678,-324.187,-12695.8264,49354.8103,-235799.8492
Story12,Ex,LinStatic,Step By Step,1,Top,0,-586.1972,-0.3576,9355.1837,2.9207,-5867.1544
Story12,Ex,LinStatic,Step By Step,1,Bottom,0,-586.1972,-0.3576,9355.1837,3.9934,-7625.746
Story12,Ex,LinStatic,Step By Step,2,Top,0,-586.1727,0.1859,9902.0749,-1.6251,-5866.9529
Story12,Ex,LinStatic,Step By Step,2,Bottom,0,-586.1727,0.1859,9902.0749,-2.1828,-7625.4711
Story12,Ex,LinStatic,Step By Step,3,Top,0,-586.2217,-0.901,8808.2924,7.4665,-5867.3558
Story12,Ex,LinStatic,Step By Step,3,Bottom,0,-586.2217,-0.901,8808.2924,10.1696,-7626.0209
Story12,Ey,LinStatic,Step By Step,1,Top,0,-0.3547,-595.6423,-19351.0724,5946.5265,-2.8572
Story12,Ey,LinStatic,Step By Step,1,Bottom,0,-0.3547,-595.6423,-19351.0724,7733.4535,-3.9214
Story12,Ey,LinStatic,Step By Step,2,Top,0,-0.3792,-596.1858,-19897.9637,5951.0723,-3.0587
Story12,Ey,LinStatic,Step By Step,2,Bottom,0,-0.3792,-596.1858,-19897.9637,7739.6297,-4.1963
Story12,Ey,LinStatic,Step By Step,3,Top,0,-0.3303,-595.0989,-18804.1812,5941.9807,-2.6558
Story12,Ey,LinStatic,Step By Step,3,Bottom,0,-0.3303,-595.0989,-18804.1812,7727.2774,-3.6466
Story12,Qx,LinRespSpec,Max,,Top,0,477.1634,25.2795,8741.6725,469.6709,6464.7157
Story12,Qx,LinRespSpec,Max,,Bottom,0,477.1634,25.2795,8741.6725,534.081,7764.4346
Story12,Qy,LinRespSpec,Max,,Top,0,27.0907,303.8038,10133.7858,4232.6177,388.9991
Story12,Qy,LinRespSpec,Max,,Bottom,0,27.0907,303.8038,10133.7858,5036.3233,463.5069
Story12,Qx-Servicio (R=6),LinRespSpec,Max,,Top,0,287.2552,15.2184,5262.5389,282.7447,3891.7973
Story12,Qx-Servicio (R=6),LinRespSpec,Max,,Bottom,0,287.2552,15.2184,5262.5389,321.5199,4674.2358
Story12,Qy-Servicio (R=6),LinRespSpec,Max,,Top,0,15.3789,172.4636,5752.755,2402.7755,220.8273
Story12,Qy-Servicio (R=6),LinRespSpec,Max,,Bottom,0,15.3789,172.4636,5752.755,2859.0237,263.124
Story12,EU-F,Combination,Max,,Top,10580.0621,727.9249,467.052,19133.7747,169281.4304,-177973.9444
Story12,EU-F,Combination,Max,,Bottom,10735.5039,727.9249,467.052,19133.7747,171768.6623,-178779.0169
Story12,EU-F,Combination,Min,,Top,5864.3773,-727.9549,-467.1323,-19135.5639,87270.0002,-338897.5444
Story12,EU-F,Combination,Min,,Bottom,5950.5365,-727.9549,-467.1323,-19135.5639,87414.0943,-343927.765
Story12,ES-F,Combination,Max,,Top,8214.6625,509.6833,327.064,13437.3762,136029.4824,-117269.3119
Story12,ES-F,Combination,Max,,Bottom,8335.352,509.6833,327.064,13437.3762,138825.1425,-117723.9811
